Product,Price,Shades,Number of Shades,Description,Types,Category
Mineralize Skinfinish / Teyana Taylor,$37.00,[],0,"Rich Gold-Bronze Shade, Luminous Highlighter, Limited Edition",Highlighters,Face
Studio Fix Sculpt and Shape Contour Palette Light/Medium,$39.50,[],0,"Highlight/Contour Palette, Natural Finish, Sheer Buildable Coverage",Highlighters,Face
Studio Fix Sculpt and Shape Contour Palette Medium Dark/Dark,$39.50,[],0,"Highlight/Contour Palette, Natural Finish, Sheer Buildable Coverage",Highlighters,Face
Hyper Real Glow Palette/ SHIMMY PEACH,$39.50,[],0,"Three Highlighters, Deep Peach Shades, Cream-Like Glow Finish",Highlighters,Face
Hyper Real Glow Palette/ GET LIT,$39.50,[],0,"Three Highlighters, Pale Pastel Shades, Cream-Like Glow Finish",Highlighters,Face
Hyper Real Glow Palette / Get It Glowin’,$39.50,[],0,"Three Highlighters, Gold Shades, Cream-Like Glow Finish",Highlighters,Face
Hyper Real Glow Palette / Flash + Awe,$39.50,[],0,"Three Highlighters, Pink Shades, Cream-Like Glow Finish",Highlighters,Face
Iridescent Powder/Loose,$29.00,"['SilverDusk', 'GoldenBronze']",2,"Iridescent Sheen, Blends Effortlessly, High-Pearl Finish",Highlighters,Face
Strobe Cream,$35.00,"['Goldlite', 'Peachlite', 'Silverlite', 'Pinklite(OriginalStrobeCream)']",4,"Liquid Highlighter, Softest Glowing Finish, Hydrating",Highlighters,Face
Strobe Cream / Mini M·A·C,$16.00,[],0,"Travel Size, Hydrating, Luminizing",Highlighters,Face
Prep + Prime Fix+ (Shimmer),$29.00,"['Pinklite', 'Goldlite']",2,"""Shimmery Setting Spray, Hydrating, Pearlescent Finish",Highlighters,Face
Prep + Prime Highlighter,$27.00,"['PeachLustre', 'RadiantRose', 'BrightForecast', 'LightBoost']",4,"Illuminating, Sheer Coverage, Long-Wearing",Highlighters,Face
Pro Face Palette: Contour,$40.00,[],0,"Contouring, Blendable, Cream Colour Shadow Formula",Face Palettes,Face
Pro Face Palette: Blush,$40.00,"['BrightBlush', 'LightBlush', 'DeepBlush']",3,"Adds Colour, Blendable, Casual Colour Formula",Face Palettes,Face
Pro Face Palette: Illuminate,$40.00,[],0,"Highlighting, Blendable, Cream Colour Base Formula",Face Palettes,Face
Pro Palette Paintstick x 12,$70.00,[],0,"12 Paintstick Colours, Ideal for Pro Artists, Portable",Face Palettes,Face
PRO SPRING COLOUR KIT ($265 VALUE),$196.00,[],0,"PRO MEMBER-EXCLUSIVE, 12-PIECE ALL-INCLUSIVE KIT, $196 ($265 VALUE)",Face Palettes,Face
EXCLUSIVE M·A·C LOVER VAULT ($373.50 Value),$261.00,[],0,"19-Piece M∙A∙C Icons Kit, Exclusively for M∙A∙C Lover Devoted and Obsessed Members, Only Online for $261 ($373.50 Value)",Face Palettes,Face
Brush Cleanser,$17.00,[],0,"Cleansing, Conditions Brushes",Brushes,Brushes/Tools
270 Synthetic Mini Rounded Slant Brush,$25.00,[],0,"For Cream/Liquid Concealers, Slanted Mini Dome Shape, Helps to Cover Imperfections",Brushes,Brushes/Tools
316 Synthetic Lip Brush,$22.00,[],0,"For Liquids/Creams, Tapered Tip, Sculpts Lips",Brushes,Brushes/Tools
318 Synthetic Retractable Lip Brush,$26.00,[],0,"For Liquids/Creams, Sculpts Lips, Retractable",Brushes,Brushes/Tools
195 Synthetic Concealer Brush,$25.00,[],0,"For Concealer, Pointed Tip, Precisely Applies",Brushes,Brushes/Tools
109 Synthetic Small Contour Brush,$37.00,[],0,"For Powders, Rounded Dome Tip, Contours Face",Brushes,Brushes/Tools
168 Synthetic Large Angled Contour Brush,$37.00,[],0,"For Powders, Slanted Tip, Contours Cheeks",Brushes,Brushes/Tools
116 Synthetic Blush Brush,$37.00,[],0,"For Powders, Chiseled Sides, Shades Cheeks",Brushes,Brushes/Tools
129 Synthetic Powder/Blush Brush,$37.00,[],0,"For Powders, Full Rounded Shape, Shades Cheeks",Brushes,Brushes/Tools
159 Synthetic Duo Fibre Blush Brush,$37.00,[],0,"For Blush, Paddle-Shaped, Two Fibres",Brushes,Brushes/Tools
129SH Synthetic Powder/Blush Brush,$37.00,[],0,"Full Rounded Shape, Shades Cheeks, Short Handle",Brushes,Brushes/Tools
150 Synthetic Large Powder Brush,$44.00,[],0,"For Powders, Rounded Shape, Dusts On Product",Brushes,Brushes/Tools
135 Synthetic Large Flat Powder Brush,$44.00,[],0,"For Powders, Double Chiseled Shape, Shades Face",Brushes,Brushes/Tools
143SES Medium Face Fan Brush,$38.50,[],0,"Sizzling Shades, Slick Textures, Special Packaging",Brushes,Brushes/Tools
140 Synthetic Full Fan Brush,$44.00,[],0,"For Powders, Full Rounded Fan Shape",Brushes,Brushes/Tools
184 Synthetic Duo Fibre Fan Brush,$28.00,[],0,"For Creams/Liquids, Fan-Shaped, Two Fibres",Brushes,Brushes/Tools
196 Synthetic Slanted Flat Top Foundation Brush,$37.00,[],0,"For Foundation, Flat Slanted Tip, Short Bristles",Brushes,Brushes/Tools
191 Square Foundation Brush,$37.00,[],0,"For Foundation, Flat Square-Shaped, Shades Face",Brushes,Brushes/Tools
190 Synthetic Foundation Brush,$37.00,[],0,"For Foundation, Paddle-Shaped, Shades Face",Brushes,Brushes/Tools
133 Synthetic Small Cheek Brush,$37.00,[],0,"For Powders, Elongated Paddle Shape, Shades Cheeks",Brushes,Brushes/Tools
128 Synthetic Split Fibre Cheek Brush,$37.00,[],0,"For Powders, Short Dense Shape, Shades Cheeks",Brushes,Brushes/Tools
125 Synthetic Split Fibre Dense Face Brush,$37.00,[],0,"FOR POWDERS/CREAMS, SHORT DENSE SHAPE, SHADES FACE",Brushes,Brushes/Tools
139 Synthetic Duo Fibre Tapered Face Brush,$42.00,[],0,"For All Formulas, Rounded Tip, Two Fibres",Brushes,Brushes/Tools
127 Synthetic Split Fibre Face Brush,$37.00,[],0,"For Powders, Paddle-Shaped, Shades Face",Brushes,Brushes/Tools
130 Synthetic Short Duo Fibre Brush,$42.00,[],0,"For All Formulas, FlatTopped, Two Fibres",Brushes,Brushes/Tools
187 Synthetic Duo Fibre Face Brush,$44.00,[],0,"For All Formulas, Circular Shape, Two Fibres",Brushes,Brushes/Tools
188 Synthetic Small Duo Fibre Face Brush,$37.00,[],0,"For All Formulas, Flat-Topped, Two Fibres",Brushes,Brushes/Tools
137 Synthetic Long Blending Brush,$42.00,[],0,"For Powders, Long Dome Tip, Shades Face",Brushes,Brushes/Tools
224 Synthetic Tapered Blending Brush,$32.00,[],0,"For Powders, Dome-Shaped, Blends Shadow",Brushes,Brushes/Tools
221 Synthetic Mini Tapered Blending Brush,$28.00,[],0,"For Powders, Tapered Tip, Blends Shadow",Brushes,Brushes/Tools
240 Synthetic Large Tapered Blending Brush,$34.00,[],0,"For Powders, Large Tapered Shape, Blends Shadow",Brushes,Brushes/Tools
231 Synthetic Small Shader Brush,$21.00,[],0,"For Powders/Creams, Paddle-Shaped, Shades Eyes",Brushes,Brushes/Tools
217 Synthetic Blending Brush,$28.00,[],0,"For Powders/Creams, Oval Shape, Blends Shadow",Brushes,Brushes/Tools
242 Synthetic Shader Brush,$28.00,[],0,"For Powders/Emollients, Rounded Edge, Shades Eyes",Brushes,Brushes/Tools
239 Synthetic Eye Shader Brush,$28.00,[],0,"For Powders, Rounded Edge, Shades Eyes",Brushes,Brushes/Tools
248 Synthetic Small Eye Shader Brush,$28.00,[],0,"Paddle-Shaped, For Eyes, For Cream Formulas",Brushes,Brushes/Tools
275 Synthetic Medium Angled Shading Brush,$28.00,[],0,"For Powders, Angled Edge, Contours Eyes",Brushes,Brushes/Tools
287 Synthetic Duo Fibre Eye Shadow Brush,$32.00,[],0,"For All Formulas, Paddle-Shaped, Two Fibres",Brushes,Brushes/Tools
164 Synthetic Duo Fibre Curved Sculpting Brush,$37.00,[],0,"For All Formulas, Curved Slanted Tip, Contours Cheeks",Brushes,Brushes/Tools
170 Synthetic Rounded Slant Brush,$37.00,[],0,"For Creams/Liquids, Slanted Dome Shape, Shades Face",Brushes,Brushes/Tools
197 Synthetic Duo Fibre Square Brush,$37.00,[],0,"FOR FOUNDATIONS, SQUARE-SHAPED, TWO FIBRES",Brushes,Brushes/Tools
204 Synthetic Lash Brush,$18.00,[],0,"For Lashes, Spoolie Shape, Grooms Lashes/Brows",Brushes,Brushes/Tools
205 Synthetic Mascara Fan Brush,$20.00,[],0,"For Mascara, Fan-Shaped, Coats/Separates Lashes",Brushes,Brushes/Tools
208 Synthetic Angled Brow Brush,$21.00,[],0,"For All Formulas, Angled Tip, Shades Brows",Brushes,Brushes/Tools
209 Synthetic Eye Liner Brush,$22.00,[],0,"For Liquids/Creams, Fine-Tipped, Lines Eyes",Brushes,Brushes/Tools
210 Synthetic Precise Eye Liner Brush,$21.00,[],0,"For Liquids/Creams, Extra Fine Tip, Lines Eyes",Brushes,Brushes/Tools
212 Synthetic Flat Definer Brush,$25.00,[],0,"For All Formulas, Flat-Shaped, Defines Eyes",Brushes,Brushes/Tools
219 Synthetic Pencil Brush,$28.00,[],0,"For Powders/Creams, Pencil-Shaped, Defines Eyes",Brushes,Brushes/Tools
182 Synthetic Buffer Brush,$53.00,[],0,"For Powders, Dome-Shaped, Buffs Face",Brushes,Brushes/Tools
263 Synthetic Small Angle Brush,$21.00,[],0,"For All Formulas, Angled Tip, Shapes Eyes/Brows",Brushes,Brushes/Tools
286 Synthetic Duo Fibre Tapered Brush,$32.00,[],0,"For All Formulas, Dome-Shaped, Two Fibres",Brushes,Brushes/Tools
Oval Synthetic 6 Brush,$42.00,[],0,"For All Formulas, Rounded Shape, Shades Face",Brushes,Brushes/Tools
Beautyblender Original,$20.00,[],0,"Iconic Pink Sponge, Edgeless Shape, Streak-Free Application",Brushes,Brushes/Tools
Beautyblender Beauty Blusher,$16.00,[],0,"For Blush, Edgeless Shape, Streak-Free Application",Brushes,Brushes/Tools
Beautyblender Pro,$20.00,[],0,"For Darker-Toned Products, Edgeless Shape, Streak-Free Application",Brushes,Brushes/Tools
Beautyblender Micro Mini,$18.00,[],0,"For Contouring/Highlighting/Concealing, Edgeless Shape, Streak-Free Application",Brushes,Brushes/Tools
Blendercleanser Solid,$16.00,[],0,"beautyblender® Cleanser, Deep Cleans, Pink Silicone Pad Included",Brushes,Brushes/Tools
Studio Tech Sponge / 2,$10.00,[],0,"For Studio Tech, Pro-Quality, Reusable",Brushes,Brushes/Tools
Multi-Formula Foundation Sponge / 2,$10.00,[],0,"Ultra-Soft, Buffed Finish, Reusable",Brushes,Brushes/Tools
Lash Applicator,$20.00,[],0,"For False Lashes, Precise, Convenient",Brushes,Brushes/Tools
Select Sheer Replacement Puff / 2,$10.00,[],0,"For Select Sheer/Pressed, Flocked Puff, 2-Pack",Brushes,Brushes/Tools
Mascara Wands / Disposable,$10.00,[],0,"High-Quality, Hygenic, Disposable",Brushes,Brushes/Tools
Softpoint Sponge Applicator,$19.00,[],0,"Ultra-Soft, Easy Grip, Precise",Brushes,Brushes/Tools
Brush Canister / Small,$19.00,[],0,"Holds 16 Brushes, Convenient, Versatile",Accessories,Brushes/Tools
Foundation Pump,$10.00,[],0,"Use with Studio Fix Fluid, Easy Distribution, Self-Capping",Accessories,Brushes/Tools
Pencil Sharpener / Universal,$10.00,[],0,"For Regular/Chubby Pencils, Multi-Use, Creates Fine/Rounded Tips",Accessories,Brushes/Tools
Full Lash Curler,$22.00,[],0,"Full-Sized, Curling, Easy To Use",Accessories,Brushes/Tools
Spatula,$22.00,[],0,"Stainless Steel, Double-Sided, Professional",Accessories,Brushes/Tools
Tweezers / Slant,$36.00,[],0,"Slant-Tipped, Texturized Tip, Grooming",Accessories,Brushes/Tools
Half Lash Curler,$22.00,[],0,"Half-Sized, Curling, For Inner Lashes",Accessories,Brushes/Tools
Clearly M·A·C / Large Rectangle,$30.00,[],0,"Large Clear Rectangle, Flexible Plastic, Sturdy",Bags,Brushes/Tools
Clearly M·A·C / Rectangle,$26.00,[],0,"Clear Rectangle, Flexible Plastic, Sturdy",Bags,Brushes/Tools
Carry All M·A·C,$60.00,[],0,"Classic Carry-All, Black Nylon, Durable",Bags,Brushes/Tools
Travel Case,$176.00,[],0,"Travel Case, Multiple Compartments, Durable",Bags,Brushes/Tools
Brush Roll M·A·C / Large,$50.00,[],0,"Large Brush Roll, Black Nylon, Durable",Bags,Brushes/Tools
Clearly M·A·C / Trio,$42.00,[],0,"Clear Nesting Trio, Flexible Plastic, Sturdy",Bags,Brushes/Tools
Clearly M·A·C / Cube,$26.00,[],0,"Clear Cube, Flexible Plastic, Sturdy",Bags,Brushes/Tools
Rectangle M·A·C / Medium,$42.00,[],0,"Medium Rectangle, Logo Pattern, Classic",Bags,Brushes/Tools
Brush Roll M·A·C / Small,$42.00,[],0,"Small Brush Roll, Black Nylon, Durable",Bags,Brushes/Tools
Rectangle M·A·C / Small,$35.00,[],0,"Small Rectangle, Logo Pattern, Classic",Bags,Brushes/Tools
Style Voyager Tote,$45.00,"['Champs-Elyseés', 'CoventGarden', 'Roma']",3,"Carry-All Tote, Black Canvas, M·A·C Graffiti Print",Bags,Brushes/Tools
Pro Palette Eye Shadow / Concealer x 4 (Compact),$9.00,[],0,"4 Small Compartments, Fits Shadow / Concealer, Portable",Pro Products,Brushes/Tools
Pro Palette Eye Shadow / Concealer x 6 (Insert),$1.00,[],0,"6 Small Compartments, Fits Shadow / Concealer, Customizable",Pro Products,Brushes/Tools
Pro Palette Cream Colour Base x 2 (Insert),$1.00,[],0,"2 Medium Compartments, Fits Cream Colour Base, Customizable",Pro Products,Brushes/Tools
Pro Palette Customize X 4 (Insert),$1.00,[],0,"4 Wells, Customizable, For All Formulas",Pro Products,Brushes/Tools
Pro Palette Eye Shadow / Concealer x 9 (Insert),$2.00,[],0,"9 Small Compartments, Fits Shadow / Concealer, Customizable",Pro Products,Brushes/Tools
Pro Palette Blush / Powder x 2 (Insert),$1.00,[],0,"2 Large Compartments, Fits Blush / Powder, Customizable",Pro Products,Brushes/Tools
Pro Palette Eye Shadow / Concealer x 15 (Insert),$3.00,[],0,"15 Small Compartments,  Fits Shadow / Concealer, Customizable",Pro Products,Brushes/Tools
Pro Palette Eye Shadow / Concealer x 2 (Compact),$6.00,[],0,"2 Small Compartments, Fits Shadow / Concealer, Portable",Pro Products,Brushes/Tools
Pro Palette Large / Single (Compact),$9.00,[],0,"Large Compact,  Fits Eye / Face Inserts & Pans, Single-Sided",Pro Products,Brushes/Tools
Pro Palette Large / Duo (Compact),$9.00,[],0,"Large Compact,  Fits Eye / Face Inserts & Pans, Double-Sided",Pro Products,Brushes/Tools
Pro Palette Medium (Compact),$9.00,[],0,"Medium Compact, Fits Eye / Face Inserts & Pans, Portable",Pro Products,Brushes/Tools
Pro Palette Small (Compact),$9.00,[],0,"Small Compact, Fits Eye / Face Inserts & Pans, Portable",Pro Products,Brushes/Tools
Chromacake,$29.00,"['BasicRed', 'PrimaryYellow', 'TrueChartreuse', 'PureWhite', 'BlackBlack', 'MarineUltra', 'RichPurple', 'Cyan', 'Magenta', 'LandscapeGreen', 'GenuineOrange']",11,"Opaque Coverage, Matte Finish, Water-Activated",Pro Products,Brushes/Tools
Paintstick,$22.00,"['RichPurple', 'TrueChartreuse', 'DeepBrown', 'GenuineOrange', 'LandscapeGreen', 'MarineUltra', 'ProcessMagenta', 'PureWhite', 'BlackBlack', 'BasicRed']",10,"Opaque Coverage, Slight Satin Finish, Rich Colour",Pro Products,Brushes/Tools
PRO Performance HD Airbrush Makeup,$36.00,"['Caramel', 'PureOrange', 'DeepBrown', 'NW25', 'Cyan', 'NW45', 'NW55', 'PureWhite', 'PrimaryYellow', 'NC10', 'BlackBlack', 'Terracotta', 'NC20', 'NC30', 'Ochre', 'LandscapeGreen', 'NC40', 'GenuineOrange', 'BasicRed', 'NW15', 'BurntCoral', 'Magenta', 'NW35', 'NC50', 'RichPurple', 'PolishedIvory']",26,"Silicone-Based, Rich Colour, For HD Use",Pro Products,Brushes/Tools
PRO Performance HD Airbrush Cleanser,$24.00,[],0,"Cleansing, Dilutes Formulas, Sheers Out Coverage",Pro Products,Brushes/Tools
Pro Palette Customize x 12 (Insert),$4.00,[],0,"12 Wells, Customizable, For All Formulas",Pro Products,Brushes/Tools
Pro Palette Customize x 24 (Insert),$4.00,[],0,"24 Wells, Customizable, For All Formulas",Pro Products,Brushes/Tools
Fix+ Vitality,$16.00,[],0,"Mini Mood-Boosting Setting Spray, Vital Apricot and Tangerine Scent, Refreshes and Sets Makeup",Primers,Skin
Fix+ Play,$16.00,[],0,"Mini Mood-Boosting Setting Spray, Playful Lemon and Orange Scent, Refreshes and Sets Makeup",Primers,Skin
Fix+ Balance,$16.00,[],0,"Mini Mood-Boosting Setting Spray, Balancing Peppermint and Bergamot Scent, Refreshes and Sets Makeup",Primers,Skin
Fix+ Awaken,$16.00,[],0,"Mini Mood-Boosting Setting Spray, Awakening Tea Leaf and Floral Scent, Refreshes and Sets Makeup",Primers,Skin
Fix+ Passion,$16.00,[],0,"Mini Mood-Boosting Setting Spray, Passionate Strawberry and Peach Scent, Refreshes and Sets Makeup",Primers,Skin
Mineralize Timecheck Lotion ,$45.00,[],0,"Hydrating, Blurs Lines, Visibly Shrinks Pores",Primers,Skin
Fix+ Compassion,$16.00,[],0,"Mini Mood-Boosting Setting Spray, Compassionate Berry and Rose Scent, Refreshes  and Sets Makeup",Primers,Skin
Fix+ Calm,$16.00,[],0,"Mini Mood-Boosting Setting Spray, Calming Blueberry and Jasmine Scent, Refreshes and Sets Makeup",Primers,Skin
Prep + Prime Fix+,$29.00,"['Original', 'Coconut', 'Lavender', 'Rose']",4,"Hydrating, Refreshing, Finishes Makeup, Setting Spray",Primers,Skin
Prep + Prime Fix+ Matte,$29.00,[],0,"Refreshing, Setting Spray, Instantly Mattifies",Primers,Skin
M·A·C Fix+ Magic Radiance,$32.00,[],0,"Fix+ Magic Radiance, Mist-On Moisturizing Spray, Vitamin C Adds Radiance, Hyaluronic Acid/Essential Oils Hydrate",Primers,Skin
Prep + Prime Fix+ / Mini M·A·C,$16.00,[],0,"Travel Size, Refreshing, Sets Makeup",Primers,Skin
Fix+ (Shimmer) in Bronzelite,$30.00,[],0,"Hydrating, Setting Spray, Bronze Pearlescent Finish",Primers,Skin
Prep + Prime Natural Radiance,$42.00,"['RadiantPink', 'RadiantYellow']",2,"Illuminating Primer, Hydrating, For All Skin Types",Primers,Skin
Prep + Prime Skin,$33.00,[],0,"Lightweight, Perfects Skin, Improves Radiance",Primers,Skin
Prep + Prime 24-Hour Extend Eye Base,$24.50,[],0,"Long-Wearing, Crease-Proof, Fade-Proof",Primers,Skin
Prep + Prime Pore Refiner Stick,$28.00,[],0,"Blurs Pores, Controls the look of Oil, Matte Finish",Primers,Skin
Prep + Prime Essential Oils Stick,$28.00,[],0,"Hydrating, Multi-Purpose, Portable",Primers,Skin
Prep + Prime Skin Refined Zone,$23.00,[],0,"Minimizes Pores, Mattifying, Controls Oil",Primers,Skin
Prep + Prime Face Protect Lotion SPF 50  ,$35.00,[],0,"Antioxidant Rich, Non-Oily, SPF 50",Primers,Skin
Prep + Prime Essential Oils Grapefruit & Chamomile,$28.00,[],0,"Hydrating, Improves Radiance, Clarifying",Primers,Skin
Prep + Prime Moisture Infusion,$42.00,[],0,"Hydrating, Lightweight, Improves Radiance",Primers,Skin
Prep + Prime Fix+ / Petal Power,$29.00,[],0,"Setting Spray, Hydrating, Cherry Blossom Scent",Primers,Skin
Fast Response Eye Cream,$33.00,[],0,"Firming, De-Puffing, Reduces Dark Circles",Eye Primer,Skin
Strobe Face Glaze ,$28.00,"['Bronzejour', 'MagicHour', 'Let’sMakeWaves', 'LikeitLilacThat']",4,"Iridescent Glossy Highlighter, Dewy Finish, Hydrating",Moisturizers,Skin
Strobe Body Lotion ,$35.00,[],0,"Hydrating, Luminous, Liquid Bronze Highlighter for Body",Moisturizers,Skin
Mineralize Charged Water Moisture Gel,$40.00,[],0,"Hydrating, Soothing, Softens Skin",Moisturizers,Skin
Studio Moisture Cream,$33.00,[],0,"Hydrating, Nourishing",Moisturizers,Skin
Complete Comfort Creme,$35.00,[],0,"Hydrating, Soothing, Reduces Redness",Moisturizers,Skin
Lightful C + Coral Grass Tinted Cream SPF 30 with Radiance Booster,$35.00,"['Medium', 'Light', 'LightPlus', 'MediumPlus']",4,"Colour-Correcting, Brightening, SPF 30",Moisturizers,Skin
Lightful C + Coral Grass Softening Lotion Spray,$31.00,[],0,"Hydrating, Brightening, Spray Bottle",Moisturizers,Skin
Lightful C + Coral Grass Vibrancy Eye Cream,$34.00,[],0,"Brightening, Primes Eyes",Moisturizers,Skin
Lightful C + Coral Grass Moisture Cream,$45.00,[],0,"Hydrating, Brightening, Prevents Dark Spots",Moisturizers,Skin
Mineralize Charged Water Charcoal Spray,$29.00,[],0,"Hydrating, Re-energizing, Sets Makeup",Moisturizers,Skin
Mineralize Reset & Revive Charcoal Mask,$34.00,[],0,"Purifies Pores, Controls Look of Oil, Clarifies Skin",Moisturizers,Skin
Bulk Wipes,$30.00,[],0,"Convenient, Conditioning, Removes Makeup",Fragrance,Skin
Wipes / Mini M·A·C,$16.00,[],0,"Travel Size, Conditioning, Removes Makeup",Fragrance,Skin
Gently Off Eye and Lip Makeup Remover,$22.00,[],0,"Dual-Phase Formula, Gentle, Soothing",Fragrance,Skin
Cleanse Off Oil,$33.00,[],0,"Removes Waterproof Makeup, Natural Oils, Gentle",Fragrance,Skin
Mineralize Volcanic Ash Exfoliator,$33.00,[],0,"Exfoliating, Controls Oil, Hydrating",Fragrance,Skin
Lightful C + Coral Grass Cleanser,$30.00,[],0,"Botanical Formula, Skin-Balancing, Brightening",Fragrance,Skin
