Product,Price,Shades,Number of Shades,Description,Types,Category
Eye Shadow x 9: Semi-Sweet Times Nine,$32.00,[],0,"Coordinated Smoky Browns, Professional, Portable",Eyeshadow,Eyes
Pro Eye Palette: The Dame,$40.00,[],0,"6 Shades, Classic Neutrals, Cream Colour Shadow",Eyeshadow,Eyes
Pro Eye Palette: The Social Climber,$40.00,[],0,"6 Shades, Golden Browns/Siennas, Cream Colour Shadow",Eyeshadow,Eyes
Pro Eye Palette: The Bad Girl,$40.00,[],0,"6 Shades, Blues/Greens, Cream Colour Shadow",Eyeshadow,Eyes
Pro Eye Palette: The Silly One,$40.00,[],0,"6 Shades, Pinks/Beiges, Cream Colour Shadow",Eyeshadow,Eyes
Pro Eye Palette: The Romantic,$40.00,[],0,"6 Shades, Reds/Violets, Cream Colour Shadow",Eyeshadow,Eyes
Brushstroke 24-Hour Liner,$22.00,"['Brushblack', 'Brushbrown']",2,"Brush-Style Formula, Long-Wearing, Precise",Eyeliner,Eyes
Technakohl Liner,$19.00,"['Auto-de-blu', 'Broque', 'Brownborder', 'CoolJazz', 'Graphblack', 'Photogravure', 'PurpleDash']",7,"Rich Colour, Mechanical-Style, Safe For Waterlines",Eyeliner,Eyes
M·A·C Dual Dare All-Day Waterproof Liner,$24.00,[],0,"Two-In-One Waterproof Liner, Liquid Brush for Precision, Kajal Pencil for Definition",Eyeliner,Eyes
Liquidlast 24-Hour Waterproof Liner,$22.00,"['NakedBond', 'CocoBar', 'PointBlack', 'KeepItCurrant', 'LateNight', 'WetRoad', 'MistyMe']",7,"Rich Colour, Long-Wearing, Precise",Eyeliner,Eyes
Liquid Eye Liner,$22.00,[],0,"Liquid Formula, Long-Wearing, Precise",Eyeliner,Eyes
Pro Longwear Eye Liner,$22.00,"['DefinedlyBlack', 'Devotion', 'MountainAir', 'NightTrail', 'RichExperience', 'StrongWilled']",6,"Water-Resistant, All day Wear, Safe For Waterlines",Eyeliner,Eyes
Eye Kohl,$19.00,"['CostaRiche', 'Fascinating', 'Minted', 'PhoneNumber', 'Powersurge', 'Prunella', 'Smolder', 'Teddy']",8,"Silky Formula, Rich Colour, Matte/Pearl Finish",Eyeliner,Eyes
Powerpoint Eye Pencil,$19.00,"['Engraved', 'StubbornBrown']",2,"Waterproof, Long-Wearing, Multiple Finishes",Eyeliner,Eyes
Chromagraphic Pencil,$18.00,"['GenuineOrange', 'BasicRed', 'PrimaryYellow', 'PureWhite', 'RichPurple', 'ProcessMagenta', 'Hi-DefCyan', 'MarineUltra']",8,"Creamy Formula, Rich Colour, Long-Wearing",Eyeliner,Eyes
Pro Longwear Fluidline Eyeliner and Brow Gel ,$19.00,"['Blacktrack', 'Dipdown', 'Lowlights', 'Macroviolet', 'MidnightSnack']",5,"Gel Formula, Long-Wearing, Precise",Eyeliner,Eyes
Chromaline,$22.00,"['BlackBlack', 'Hi-DefCyan', 'PureWhite']",3,"Gel/Cream Liner for Face/Body, Rich Colour, Long-Wearing",Eyeliner,Eyes
Extended Play Gigablack Lash Mascara,$21.00,[],0,"Defining, Warm Water Washable, Super Black",Mascara,Eyes
Extended Play Perm Me Up Lash Mascara,$24.00,[],0,"16-Hour Curl, Volumizing, Warm Water Washable",Mascara,Eyes
Up For Everything Lash ,$24.00,[],0,"Waterproof, 24-Hour Curl, 24-Hour Volume",Mascara,Eyes
In Extreme Dimension 3D Black Lash Mascara,$24.00,[],0,"3D Volume, Dramatic, Super Black",Mascara,Eyes
In Extreme Dimension Waterproof Mascara,$24.00,[],0,"3D Volume, Dramatic, Waterproof",Mascara,Eyes
